cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq,jitter
172,3442.1377,3456.5372,20,14.3995000000004,0,20,0,PI,none yet,30,22.1087716502178,7.89122834978219,1,0,30,39,-5.60049999999956
173,3458.1042,3472.3099,20,14.2056999999995,0,20,0,PI,none yet,30,22.1184453352672,7.88155466473284,1,0,30,39,-5.79430000000048
174,3473.9911,3488.2661,20,14.2750000000001,0,20,0,PI,none yet,30,22.1280899992614,7.87191000073864,1,0,30,39,-5.72499999999991
175,3489.9904,3504.2509,20,14.2604999999999,0,20,0,PI,none yet,30,22.1377057292636,7.86229427073643,1,0,30,39,-5.73950000000013
176,3505.9217,3519.2668,20,13.3451,0,20,0,PI,none yet,30,22.1472926120758,7.85270738792422,1,0,30,39,-6.6549
177,3521.0549,3534.6261,20,13.5711999999999,0,20,0,PI,none yet,30,22.1568507342396,7.84314926576045,1,0,30,39,-6.42880000000014
178,3536.3349,3550.8214,20,14.4865,0,20,0,PI,none yet,30,22.1663801820368,7.83361981796316,1,0,30,39,-5.51350000000002
179,3552.5206,3565.8217,20,13.3011000000001,0,20,0,PI,none yet,30,22.1758810414907,7.82411895850927,1,0,30,39,-6.69889999999987
180,3567.4085,3596.0205,20,28.6119999999996,0,20,1,PI,none yet,30,22.1853533983663,7.81464660163375,1,0,30,39,8.61199999999963
181,3597.9244,3627.1243,20,29.1999000000001,0,20,1,PI,none yet,30,22.1947973381712,7.80520266182885,1,0,30,39,9.19990000000007
182,3628.8226,3644.4675,20,15.6449000000002,0,20,0,PI,none yet,30,22.2042129461566,7.79578705384336,1,0,30,39,-4.35509999999977
183,3646.1559,3659.9499,20,13.7939999999999,0,20,0,PI,none yet,30,22.2136003073182,7.78639969268183,1,0,30,39,-6.20600000000013
184,3661.679,3689.9273,20,28.2482999999997,0,20,1,PI,none yet,30,22.2229595063962,7.77704049360379,1,0,30,39,8.24829999999974
185,3691.7759,3721.1821,20,29.4061999999999,0,20,1,PI,none yet,30,22.232290627877,7.76770937212298,1,0,30,39,9.4061999999999
186,3722.9073,3738.4202,20,15.5128999999997,0,20,0,PI,none yet,30,22.2415937559934,7.75840624400661,1,0,30,39,-4.48710000000028
187,3740.0167,3754.0875,20,14.0707999999995,0,20,0,PI,none yet,30,22.2508689747254,7.74913102527459,1,0,30,39,-5.92920000000049
188,3755.8472,3769.3661,20,13.5189000000005,0,20,0,PI,none yet,30,22.2601163678012,7.73988363219876,1,0,30,39,-6.48109999999951
189,3771.0507,3785.4264,20,14.3757000000001,0,20,0,PI,none yet,30,22.2693360186978,7.73066398130216,1,0,30,39,-5.62429999999995
190,3787.1641,3814.05,20,26.8858999999998,0,20,1,PI,none yet,30,22.2785280106417,7.72147198935826,1,0,30,39,6.88589999999976
